Casalduni comune,Casalduni comune.1
,
Casalduni – Veduta,Casalduni – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Benevento
Amministrazione,Amministrazione
Sindaco,Pasquale Iacovella (lista civica Rinnovamento per Casalduni) dal 26-5-2014
Territorio,Territorio
Coordinate,41°16′N 14°42′E
Altitudine,300 m s.l.m.
Superficie,"23,34 km²"
Abitanti,1 175[1] (30-11-2025)
Densità,"50,34 ab./km²"
Frazioni,"Acquaro, Brendice, Capitorto, Casale, Cerconi, Collemarino, Collemastarzo, Crocella, Cuolli, Ferrarisi, Gentile, Lanzate, Macella, Pescomandarino, Pezzalonga, Piana, Prato, San Fortunato, Santa Maria, Tacceto, Vado della Lota, Vaglie, Zingolella"
Comuni confinanti,"Campolattaro, Fragneto Monforte, Ponte, Pontelandolfo, San Lupo"
Altre informazioni,Altre informazioni
Cod. postale,82030
Prefisso,0824
Fuso orario,UTC+1
Codice ISTAT,062015
Cod. catastale,B873
Targa,BN
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 1 616 GG[3]"
Nome abitanti,casaldunesi
Patrono,Sant'Antonio di Padova
Giorno festivo,13 giugno
Cartografia,Cartografia
Casalduni,Casalduni
Casalduni – MappaPosizione del comune di Casalduni nella provincia di Benevento,Casalduni – MappaPosizione del comune di Casalduni nella provincia di Benevento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
