Pietrelcina comune,Pietrelcina comune.1
,
Pietrelcina – VedutaIl rione Castello in cima al Morgione,Pietrelcina – VedutaIl rione Castello in cima al Morgione
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Benevento
Amministrazione,Amministrazione
Sindaco,Salvatore Mazzone (lista civica Pietrelcina futura) dal 4-10-2021
Territorio,Territorio
Coordinate,41°12′N 14°51′E
Altitudine,345 m s.l.m.
Superficie,"28,25 km²"
Abitanti,2 877[1] (30-11-2025)
Densità,"101,84 ab./km²"
Frazioni,"Piana Romana, Stazione"
Comuni confinanti,"Benevento, Paduli, Pago Veiano, Pesco Sannita"
Altre informazioni,Altre informazioni
Cod. postale,82020
Prefisso,0824
Fuso orario,UTC+1
Codice ISTAT,062052
Cod. catastale,G631
Targa,BN
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 1 698 GG[3]"
Nome abitanti,pietrelcinesi / pucinari
Patrono,Madonna della Libera
Giorno festivo,3 dicembre
Cartografia,Cartografia
Pietrelcina,Pietrelcina
Pietrelcina – MappaPosizione del comune di Pietrelcina nella provincia di Benevento,Pietrelcina – MappaPosizione del comune di Pietrelcina nella provincia di Benevento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
