Moiano comune,Moiano comune.1
,
Moiano – VedutaVista di Moiano dall'alto,Moiano – VedutaVista di Moiano dall'alto
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Benevento
Amministrazione,Amministrazione
Sindaco,Giacomo Buonanno (Progetto Civitas) dal 27-5-2019
Territorio,Territorio
Coordinate,41°05′N 14°33′E
Altitudine,271 m s.l.m.
Superficie,"20,2 km²"
Abitanti,3 992[1] (30-11-2025)
Densità,"197,62 ab./km²"
Frazioni,Luzzano
Comuni confinanti,"Airola, Arienzo (CE), Bucciano, Forchia, Sant'Agata de' Goti, Tocco Caudio"
Altre informazioni,Altre informazioni
Cod. postale,82010
Prefisso,0823
Fuso orario,UTC+1
Codice ISTAT,062040
Cod. catastale,F274
Targa,BN
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 563 GG[3]"
Nome abitanti,moianesi
Patrono,san Pietro Apostolo
Giorno festivo,29 giugno
Cartografia,Cartografia
Moiano,Moiano
Moiano – MappaPosizione del comune di Moiano nella provincia di Benevento,Moiano – MappaPosizione del comune di Moiano nella provincia di Benevento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
