Castelvenere comune,Castelvenere comune.1
,
Castelvenere – VedutaLa torre ricostruita,Castelvenere – VedutaLa torre ricostruita
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Benevento
Amministrazione,Amministrazione
Sindaco,Alessandro Di Santo (lista civica Insieme Castelvenere) dal 4-10-2021
Territorio,Territorio
Coordinate,41°14′N 14°33′E
Altitudine,119 m s.l.m.
Superficie,"15,44 km²"
Abitanti,2 369[1] (30-11-2025)
Densità,"153,43 ab./km²"
Frazioni,"Petrara, Bagni Vecchi-Olivella, Fedeli, Marraioli, San Tommaso"
Comuni confinanti,"Guardia Sanframondi, San Lorenzello, San Salvatore Telesino, Solopaca, Telese Terme"
Altre informazioni,Altre informazioni
Cod. postale,82030
Prefisso,0824
Fuso orario,UTC+1
Codice ISTAT,062019
Cod. catastale,C280
Targa,BN
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona C, 1 287 GG[3]"
Nome abitanti,castelveneresi
Patrono,san Barbato di Benevento
Giorno festivo,19 febbraio
Cartografia,Cartografia
Castelvenere,Castelvenere
Castelvenere – MappaPosizione del comune di Castelvenere nella provincia di Benevento,Castelvenere – MappaPosizione del comune di Castelvenere nella provincia di Benevento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
