Telese Terme comune,Telese Terme comune.1
,
"Telese Terme – VedutaIl lago di Telese, simbolo della cittadina.","Telese Terme – VedutaIl lago di Telese, simbolo della cittadina."
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Benevento
Amministrazione,Amministrazione
Sindaco,Giovanni Caporaso (lista civica Tutti Telese) dal 22-9-2020
Data di istituzione,1934
Territorio,Territorio
Coordinate,41°13′N 14°32′E
Altitudine,55 m s.l.m.
Superficie,10 km²
Abitanti,7 621[1] (30-11-2025)
Densità,"762,1 ab./km²"
Frazioni,nessuna
Comuni confinanti,"Amorosi, Castelvenere, Melizzano, San Salvatore Telesino, Solopaca"
Altre informazioni,Altre informazioni
Cod. postale,82037
Prefisso,0824
Fuso orario,UTC+1
Codice ISTAT,062074
Cod. catastale,L086
Targa,BN
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 170 GG[3]"
Nome abitanti,telesini
Patrono,santo Stefano protomartire
Giorno festivo,26 dicembre
Cartografia,Cartografia
Telese Terme,Telese Terme
Telese Terme – MappaPosizione del comune di Telese Terme nella provincia di Benevento,Telese Terme – MappaPosizione del comune di Telese Terme nella provincia di Benevento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
