Reino comune,Reino comune.1
,
"Reino – VedutaPalazzo Meomartini, sede municipale","Reino – VedutaPalazzo Meomartini, sede municipale"
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Benevento
Amministrazione,Amministrazione
Sindaco,Antonio Calzone (lista civica) dal 1-6-2015
Territorio,Territorio
Coordinate,41°17′N 14°49′E
Altitudine,450 m s.l.m.
Superficie,"23,64 km²"
Abitanti,1 066[1] (30-11-2025)
Densità,"45,09 ab./km²"
Frazioni,"Bosco del Monte, Gianferri, Streppone"
Comuni confinanti,"Circello, Colle Sannita, Fragneto l'Abate, Pesco Sannita, San Marco dei Cavoti"
Altre informazioni,Altre informazioni
Cod. postale,82020
Prefisso,0824
Fuso orario,UTC+1
Codice ISTAT,062056
Cod. catastale,H227
Targa,BN
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 1 780 GG[3]"
Nome abitanti,reinesi
Patrono,sant'Antonio di Padova
Giorno festivo,"13 giugno, 13 agosto"
Cartografia,Cartografia
Reino,Reino
Reino – MappaPosizione del comune di Reino nella provincia di Benevento,Reino – MappaPosizione del comune di Reino nella provincia di Benevento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
