Colle Sannita comune,Colle Sannita comune.1
,
Colle Sannita – Veduta,Colle Sannita – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Benevento
Amministrazione,Amministrazione
Sindaco,Michele Iapozzuto (lista civica LeAli per Colle) dal 27-5-2019
Territorio,Territorio
Coordinate,41°22′N 14°50′E
Altitudine,769 m s.l.m.
Superficie,"37,28 km²"
Abitanti,2 158[1] (30-11-2025)
Densità,"57,89 ab./km²"
Frazioni,Vedi elenco
Comuni confinanti,"Baselice, Castelpagano, Castelvetere in Val Fortore, Circello, Reino, Riccia (CB), San Marco dei Cavoti"
Altre informazioni,Altre informazioni
Cod. postale,82024
Prefisso,0824
Fuso orario,UTC+1
Codice ISTAT,062025
Cod. catastale,C846
Targa,BN
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 360 GG[3]"
Nome abitanti,collesi
Patrono,san Giorgio martire
Giorno festivo,23 aprile
Cartografia,Cartografia
Colle Sannita,Colle Sannita
Colle Sannita – MappaPosizione del comune di Colle Sannita nella provincia di Benevento,Colle Sannita – MappaPosizione del comune di Colle Sannita nella provincia di Benevento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
