Castelfranco in Miscano comune,Castelfranco in Miscano comune.1
,
Castelfranco in Miscano – Veduta,Castelfranco in Miscano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Benevento
Amministrazione,Amministrazione
Sindaco,Andrea Giallonardo (lista civica Insieme per Castelfranco) dal 22-9-2020
Territorio,Territorio
Coordinate,41°18′N 15°05′E
Altitudine,760 m s.l.m.
Superficie,"43,4 km²"
Abitanti,758[1] (30-11-2025)
Densità,"17,47 ab./km²"
Comuni confinanti,"Ariano Irpino (AV), Faeto (FG), Ginestra degli Schiavoni, Greci (AV), Montecalvo Irpino (AV), Montefalcone di Val Fortore, Roseto Valfortore (FG)"
Altre informazioni,Altre informazioni
Cod. postale,82022
Prefisso,0824
Fuso orario,UTC+1
Codice ISTAT,062016
Cod. catastale,C106
Targa,BN
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 453 GG[3]"
Nome abitanti,castelfranchesi
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Cartografia,Cartografia
Castelfranco in Miscano,Castelfranco in Miscano
Castelfranco in Miscano – MappaPosizione del comune di Castelfranco in Miscano nella provincia di Benevento,Castelfranco in Miscano – MappaPosizione del comune di Castelfranco in Miscano nella provincia di Benevento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
