Sant'Agata de' Goti comune,Sant'Agata de' Goti comune.1
,
Sant'Agata de' Goti – Veduta,Sant'Agata de' Goti – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Benevento
Amministrazione,Amministrazione
Sindaco,Salvatore Riccio (lista civica Sant'Agata città nuova) dal 22-9-2020
Territorio,Territorio
Coordinate,41°05′25″N 14°30′00″E
Altitudine,159 m s.l.m.
Superficie,"63,38 km²"
Abitanti,10 017[1] (30-11-2025)
Densità,"158,05 ab./km²"
Frazioni,"Bagnoli, Boscocupo Torretta, Cantinella, Cerreta, Cotugni Paolini, Faggiano, Laiano, Palmentata, Presta, San Silvestro Migliara, Santa Croce, Sant'Anna, San Tommaso, Saviano, Traugnano, Tuoro di Santagata, Verroni"
Comuni confinanti,"Arienzo (CE), Caserta (CE), Dugenta, Durazzano, Frasso Telesino, Limatola, Moiano, Santa Maria a Vico (CE), Tocco Caudio, Valle di Maddaloni (CE)"
Altre informazioni,Altre informazioni
Cod. postale,82019
Prefisso,0823
Fuso orario,UTC+1
Codice ISTAT,062070
Cod. catastale,I197
Targa,BN
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 404 GG[3]"
Nome abitanti,santagatesi
Patrono,sant'Agata
Giorno festivo,5 febbraio
Soprannome,Perla del Sannio[4][5]
Cartografia,Cartografia
Sant'Agata de' Goti,Sant'Agata de' Goti
Sant'Agata de' Goti – MappaPosizione del comune di Sant'Agata de' Goti nella provincia di Benevento,Sant'Agata de' Goti – MappaPosizione del comune di Sant'Agata de' Goti nella provincia di Benevento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
