Bonea comune,Bonea comune.1
,
Bonea – Veduta,Bonea – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Benevento
Amministrazione,Amministrazione
Sindaco,Giampietro Roviezzo (Liberamente per Bonea) dal 6-6-2016
Territorio,Territorio
Coordinate,41°04′N 14°37′E
Altitudine,350 m s.l.m.
Superficie,"11,46 km²"
Abitanti,1 340[1] (30-11-2025)
Densità,"116,93 ab./km²"
Comuni confinanti,"Airola, Bucciano, Montesarchio, Rotondi (AV), Tocco Caudio"
Altre informazioni,Altre informazioni
Cod. postale,82013
Prefisso,0824
Fuso orario,UTC+1
Codice ISTAT,062009
Cod. catastale,A970
Targa,BN
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 707 GG[3]"
Nome abitanti,boneani
Patrono,san Nicola di Bari
Giorno festivo,6 dicembre
Cartografia,Cartografia
Bonea,Bonea
Bonea – MappaPosizione del comune di Bonea nella provincia di Benevento,Bonea – MappaPosizione del comune di Bonea nella provincia di Benevento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
