San Martino Sannita comune,San Martino Sannita comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Benevento
Amministrazione,Amministrazione
Sindaco,Angela Martignetti (lista civica) dal 13-6-2022
Territorio,Territorio
Coordinate,41°04′N 14°50′E
Altitudine,450 m s.l.m.
Superficie,"6,18 km²"
Abitanti,1 135[1] (30-11-2025)
Densità,"183,66 ab./km²"
Frazioni,"Frazioni: San Martino, Cucciano, Lentace, Mancusi, San Giacomo, Terranova."
Comuni confinanti,"Montefusco (AV), San Giorgio del Sannio, San Nazzaro, San Nicola Manfredi, Sant'Angelo a Cupolo, Torrioni (AV)"
Altre informazioni,Altre informazioni
Cod. postale,82010
Prefisso,0824
Fuso orario,UTC+1
Codice ISTAT,062065
Cod. catastale,I002
Targa,BN
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 1 889 GG[3]"
Nome abitanti,sammartinesi
Patrono,santa Maria Assunta
Giorno festivo,15 agosto
Cartografia,Cartografia
San Martino Sannita,San Martino Sannita
San Martino Sannita – MappaPosizione del comune di San Martino Sannita nella provincia di Benevento,San Martino Sannita – MappaPosizione del comune di San Martino Sannita nella provincia di Benevento
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
