Dugenta comune,Dugenta comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Benevento
Amministrazione,Amministrazione
Sindaco,Clemente Di Cerbo (lista civica) dal 5-6-2016
Territorio,Territorio
Coordinate,41°08′N 14°27′E
Altitudine,55 m s.l.m.
Superficie,"16,05 km²"
Abitanti,2 626[1] (30-11-2025)
Densità,"163,61 ab./km²"
Frazioni,"San Nicola, Santa Maria Impesole"
Comuni confinanti,"Castel Campagnano (CE), Frasso Telesino, Limatola, Melizzano, Sant'Agata de' Goti"
Altre informazioni,Altre informazioni
Cod. postale,82030
Prefisso,0824
Fuso orario,UTC+1
Codice ISTAT,062027
Cod. catastale,D380
Targa,BN
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 170 GG[3]"
Nome abitanti,dugentesi
Patrono,Sant'Andrea Apostolo
Giorno festivo,30 novembre
Cartografia,Cartografia
Dugenta,Dugenta
Dugenta – MappaPosizione del comune di Dugenta nella provincia di Benevento nella regione Campania,Dugenta – MappaPosizione del comune di Dugenta nella provincia di Benevento nella regione Campania
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
