Polla comune,Polla comune.1
,
Polla – Veduta,Polla – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,"Massimo Loviso (lista civica ""Pollesi per Polla"") dal 22-9-2020"
Territorio,Territorio
Coordinate,40°31′01.56″N 15°29′52.62″E
Altitudine,468 m s.l.m.
Superficie,"48,08 km²"
Abitanti,5 079[1] (30-11-2025)
Densità,"105,64 ab./km²"
Frazioni,"Cangito, Cisterna, Sant'Antuono, Tempio"
Comuni confinanti,"Atena Lucana, Auletta, Brienza (PZ), Caggiano, Corleto Monforte, Pertosa, Petina, Sant'Angelo Le Fratte (PZ), Sant'Arsenio"
Altre informazioni,Altre informazioni
Cod. postale,84035
Prefisso,0975
Fuso orario,UTC+1
Codice ISTAT,065097
Cod. catastale,G793
Targa,SA
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 1 610 GG[3]"
Nome abitanti,pollesi
Patrono,san Nicola
Giorno festivo,6 dicembre
Cartografia,Cartografia
Polla,Polla
Polla – MappaPosizione del comune di Polla all'interno della provincia di Salerno,Polla – MappaPosizione del comune di Polla all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
