Roscigno comune,Roscigno comune.1
,
Roscigno – Veduta,Roscigno – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,Pino Palmieri (Forza Italia) dal 26-5-2014 (2º mandato dal 27-5-2019)
Territorio,Territorio
Coordinate,40°24′N 15°21′E
Altitudine,570 m s.l.m.
Superficie,"15,18 km²"
Abitanti,575[1] (30-11-2025)
Densità,"37,88 ab./km²"
Comuni confinanti,"Bellosguardo, Corleto Monforte, Laurino, Sacco, Sant'Angelo a Fasanella"
Altre informazioni,Altre informazioni
Cod. postale,84020
Prefisso,0828
Fuso orario,UTC+1
Codice ISTAT,065111
Cod. catastale,H564
Targa,SA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 850 GG[3]"
Nome abitanti,roscignoli
Patrono,san Rocco
Giorno festivo,16 agosto
Cartografia,Cartografia
Roscigno,Roscigno
Roscigno – MappaPosizione del comune di Roscigno all'interno della provincia di Salerno,Roscigno – MappaPosizione del comune di Roscigno all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
