Futani comune,Futani comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,Dario Trivelli (lista civica Orgoglio e appartenenza) dal 9-6-2024
Territorio,Territorio
Coordinate,40°09′06″N 15°19′20″E
Altitudine,431 m s.l.m.
Superficie,"14,85 km²"
Abitanti,1 051[1] (30-11-2025)
Densità,"70,77 ab./km²"
Frazioni,"Castinatelli, Eremiti"
Comuni confinanti,"Ceraso, Cuccaro Vetere, Montano Antilia, Novi Velia, San Mauro La Bruca"
Altre informazioni,Altre informazioni
Cod. postale,84050
Prefisso,0974-953012
Fuso orario,UTC+1
Codice ISTAT,065054
Cod. catastale,D832
Targa,SA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 583 GG[3]"
Nome abitanti,futanari o futanesi[4]
Patrono,san Marco Evangelista - sant'Anna
Giorno festivo,25 aprile - 26 luglio
Cartografia,Cartografia
Futani,Futani
Futani – MappaPosizione del comune di Futani all'interno della provincia di Salerno,Futani – MappaPosizione del comune di Futani all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
