Castelnuovo di Conza comune,Castelnuovo di Conza comune.1
,
Castelnuovo di Conza – Veduta,Castelnuovo di Conza – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,Onorato Francione (lista civica) dal 26-5-2025
Territorio,Territorio
Coordinate,40°49′N 15°19′E
Altitudine,650 m s.l.m.
Superficie,"14,06 km²"
Abitanti,558[1] (30-11-2025)
Densità,"39,69 ab./km²"
Comuni confinanti,"Caposele (AV), Teora (AV), Conza della Campania (AV), Laviano, Pescopagano (PZ), Santomenna"
Altre informazioni,Altre informazioni
Cod. postale,84020
Prefisso,0828
Fuso orario,UTC+1
Codice ISTAT,065033
Cod. catastale,C235
Targa,SA
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 127 GG[3]"
Nome abitanti,castelnuovesi
Patrono,san Nicola
Giorno festivo,6 dicembre
Cartografia,Cartografia
Castelnuovo di Conza,Castelnuovo di Conza
Castelnuovo di Conza – MappaPosizione del comune di Castelnuovo di Conza all'interno della provincia di Salerno,Castelnuovo di Conza – MappaPosizione del comune di Castelnuovo di Conza all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
