Sarno comune,Sarno comune.1
,
"Sarno – VedutaPalazzo San Francesco, municipio, con la statua di Mariano Abignente in piazza IV Novembre","Sarno – VedutaPalazzo San Francesco, municipio, con la statua di Mariano Abignente in piazza IV Novembre"
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,Francesco Squillante (PD) dal 10-6-2024
Territorio,Territorio
Coordinate,40°49′N 14°37′E
Altitudine,30 m s.l.m.
Superficie,40 km²
Abitanti,30 955[1] (30-11-2025)
Densità,"773,88 ab./km²"
Frazioni,"Episcopio, Lavorate"
Comuni confinanti,"Castel San Giorgio, Lauro (AV), Nocera Inferiore, Palma Campania (NA), Quindici (AV), San Valentino Torio, Siano, Bracigliano, Striano (NA)"
Altre informazioni,Altre informazioni
Cod. postale,84087
Prefisso,081
Fuso orario,UTC+1
Codice ISTAT,065135
Cod. catastale,I438
Targa,SA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 178 GG[3]"
Nome abitanti,sarnesi
Patrono,Maria Santissima delle Tre Corone e san Michele Arcangelo
Giorno festivo,15 agosto (Maria Santissima delle Tre Corone) 8 maggio (San Michele Arcangelo)
Cartografia,Cartografia
Sarno,Sarno
Sarno – MappaPosizione del comune di Sarno all'interno della provincia di Salerno,Sarno – MappaPosizione del comune di Sarno all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
