Montano Antilia comune,Montano Antilia comune.1
,
Montano Antilia – Veduta,Montano Antilia – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,Luciano Trivelli (lista civica Insieme per il futuro) dal 27-5-2019
Territorio,Territorio
Coordinate,40°09′43.23″N 15°22′00″E
Altitudine,767 m s.l.m.
Superficie,"33,44 km²"
Abitanti,1 644[1] (30-11-2025)
Densità,"49,16 ab./km²"
Frazioni,"Abatemarco, Massicelle"
Comuni confinanti,"Celle di Bulgheria, Centola, Futani, Laurito, Novi Velia, Rofrano, San Mauro La Bruca"
Altre informazioni,Altre informazioni
Cod. postale,84060
Prefisso,0974
Fuso orario,UTC+1
Codice ISTAT,065070
Cod. catastale,F426
Targa,SA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 2 004 GG[3]"
Nome abitanti,montanesi
Patrono,"san Sebastiano, san Montano, sant'Irene"
Giorno festivo,"20 gennaio, 17 giugno, 17 maggio"
Cartografia,Cartografia
Montano Antilia,Montano Antilia
Montano Antilia – MappaPosizione del comune di Montano Antilia all'interno della provincia di Salerno,Montano Antilia – MappaPosizione del comune di Montano Antilia all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
