Torchiara comune,Torchiara comune.1
,
Torchiara – Veduta,Torchiara – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,Massimo Farro (lista civica L'unione) dal 26-5-2014 (3º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,40°19′N 15°03′E
Altitudine,360 m s.l.m.
Superficie,"8,46 km²"
Abitanti,1 912[1] (30-11-2025)
Densità,226 ab./km²
Frazioni,"Copersito, Sant'Antuono"
Comuni confinanti,"Agropoli, Laureana Cilento, Lustra, Prignano Cilento, Rutino"
Altre informazioni,Altre informazioni
Cod. postale,84076
Prefisso,0974
Fuso orario,UTC+1
Codice ISTAT,065147
Cod. catastale,L212
Targa,SA
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 587 GG[3]"
Nome abitanti,torchiaresi
Patrono,santissimo Salvatore
Giorno festivo,6 agosto
Cartografia,Cartografia
Torchiara,Torchiara
Torchiara – MappaPosizione del comune di Torchiara all'interno della provincia di Salerno,Torchiara – MappaPosizione del comune di Torchiara all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
