Laureana Cilento comune,Laureana Cilento comune.1
,
Laureana Cilento – Veduta,Laureana Cilento – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,Angelo Serra (lista civica I Lauri) dall'8-6-2009 (4º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,40°18′N 15°02′E
Altitudine,452 m s.l.m.
Superficie,"13,74 km²"
Abitanti,1 258[1] (30-11-2025)
Densità,"91,56 ab./km²"
Frazioni,"San Martino, Matonti-Vetrali"
Sottodivisioni ulteriori,"Archi, San Paolo I, San Paolo II, San Paolo III"
Comuni confinanti,"Agropoli, Castellabate, Lustra, Perdifumo, Torchiara"
Altre informazioni,Altre informazioni
Cod. postale,84050
Prefisso,0974
Fuso orario,UTC+1
Codice ISTAT,065060
Cod. catastale,E480
Targa,SA
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 730 GG[3]"
Nome abitanti,laureanesi
Patrono,san Cono
Giorno festivo,3 giugno
Cartografia,Cartografia
Laureana Cilento,Laureana Cilento
Laureana Cilento – MappaPosizione del comune di Laureana Cilento all'interno della provincia di Salerno,Laureana Cilento – MappaPosizione del comune di Laureana Cilento all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
