San Cipriano Picentino comune,San Cipriano Picentino comune.1
,
San Cipriano Picentino – Veduta,San Cipriano Picentino – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,Sonia Alfano (lista civica Insieme possiamo) dal 27-5-2019 (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,40°43′N 14°52′E
Altitudine,365 m s.l.m.
Superficie,"17,39 km²"
Abitanti,6 743[1] (30-11-2025)
Densità,"387,75 ab./km²"
Frazioni,"Campigliano, Filetta, Pezzano, Vignale"
Comuni confinanti,"Castiglione del Genovesi, Giffoni Sei Casali, Giffoni Valle Piana, Salerno, San Mango Piemonte"
Altre informazioni,Altre informazioni
Cod. postale,84099
Prefisso,089
Fuso orario,UTC+1
Codice ISTAT,065118
Cod. catastale,H800
Targa,SA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 499 GG[3]"
Nome abitanti,sanciprianesi
Patrono,san Cipriano
Giorno festivo,16 settembre
Cartografia,Cartografia
San Cipriano Picentino,San Cipriano Picentino
San Cipriano Picentino – MappaPosizione del comune di San Cipriano Picentino all'interno della provincia di Salerno,San Cipriano Picentino – MappaPosizione del comune di San Cipriano Picentino all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
