Corleto Monforte comune,Corleto Monforte comune.1
,
Corleto Monforte – Veduta,Corleto Monforte – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,Filippo Ferraro (lista civica Corleto nel cuore) dal 4-10-2021
Territorio,Territorio
Coordinate,40°26′N 15°23′E
Altitudine,672 m s.l.m.
Superficie,"58,97 km²"
Abitanti,461[1] (30-11-2025)
Densità,"7,82 ab./km²"
Frazioni,Carnale
Comuni confinanti,"Auletta, Bellosguardo, Petina, Polla, Roscigno, Sacco, San Pietro al Tanagro, San Rufo, Sant'Angelo a Fasanella, Sant'Arsenio, Teggiano"
Altre informazioni,Altre informazioni
Cod. postale,84020
Prefisso,0828
Fuso orario,UTC+1
Codice ISTAT,065048
Cod. catastale,D011
Targa,SA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 921 GG[3]"
Nome abitanti,corletani
Patrono,santa Barbara
Giorno festivo,10 luglio
Cartografia,Cartografia
Corleto Monforte,Corleto Monforte
Corleto Monforte – MappaPosizione del comune di Corleto Monforte all'interno della provincia di Salerno,Corleto Monforte – MappaPosizione del comune di Corleto Monforte all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
