Orria comune,Orria comune.1
,
Orria – Veduta,Orria – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,Agostino Astore (lista civica Le radici del futuro) dal 4-10-2021
Territorio,Territorio
Coordinate,40°18′N 15°10′E
Altitudine,540 m s.l.m.
Superficie,"26,55 km²"
Abitanti,888[1] (30-11-2025)
Densità,"33,45 ab./km²"
Frazioni,"Casino Lebano, Piano Vetrale"
Comuni confinanti,"Gioi, Magliano Vetere, Monteforte Cilento, Perito, Salento, Stio"
Altre informazioni,Altre informazioni
Cod. postale,84060
Prefisso,0974
Fuso orario,UTC+1
Codice ISTAT,065085
Cod. catastale,G121
Targa,SA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 812 GG[3]"
Nome abitanti,orriesi
Patrono,san Felice
Giorno festivo,"2ª domenica di agosto, 14 gennaio"
Cartografia,Cartografia
Orria,Orria
Orria – MappaPosizione del comune di Orria all'interno della provincia di Salerno,Orria – MappaPosizione del comune di Orria all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
