Lustra comune,Lustra comune.1
,
Lustra – Veduta,Lustra – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,Luigi Guerra (lista civica Crescere Insieme) dal 21-9-2020
Territorio,Territorio
Coordinate,40°17′N 15°04′E
Altitudine,466 m s.l.m.
Superficie,"15,24 km²"
Abitanti,998[1] (30-11-2025)
Densità,"65,49 ab./km²"
Frazioni,"Corticelle, Ponti Rossi, Rocca Cilento, Selva"
Comuni confinanti,"Laureana Cilento, Omignano, Perdifumo, Perito, Rutino, Salento, Sessa Cilento, Torchiara"
Altre informazioni,Altre informazioni
Cod. postale,84050
Prefisso,0974
Fuso orario,UTC+1
Codice ISTAT,065064
Cod. catastale,E767
Targa,SA
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 720 GG[3]"
Nome abitanti,lustresi
Patrono,Santa Maria delle Grazie
Giorno festivo,2 luglio
Cartografia,Cartografia
Lustra,Lustra
Lustra – MappaPosizione del comune di Lustra all'interno della provincia di Salerno,Lustra – MappaPosizione del comune di Lustra all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
