Sapri comune,Sapri comune.1
,
Sapri – Veduta,Sapri – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,"Antonio Gentile (lista civica ""Sapri al Centro"") dal 12-6-2017 (2º mandato dal 13-6-2022)"
Territorio,Territorio
Coordinate,40°04′N 15°38′E
Altitudine,5 m s.l.m.
Superficie,"14,2 km²"
Abitanti,6 263[1] (30-11-2025)
Densità,"441,06 ab./km²"
Frazioni,Timpone
Comuni confinanti,"Maratea (PZ), Rivello (PZ), Torraca, Tortorella, Vibonati"
Altre informazioni,Altre informazioni
Cod. postale,84073
Prefisso,0973
Fuso orario,UTC+1
Codice ISTAT,065134
Cod. catastale,I422
Targa,SA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 938 GG[3]"
Nome abitanti,sapresi
Patrono,san Vito
Giorno festivo,15 giugno
Cartografia,Cartografia
Sapri,Sapri
Sapri – MappaPosizione del comune di Sapri all'interno della provincia di Salerno,Sapri – MappaPosizione del comune di Sapri all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
