Contursi Terme comune,Contursi Terme comune.1
,
Contursi Terme – Veduta,Contursi Terme – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,"Antonio Briscione (lista civica ""Ora"") dal 4-10-2021"
Territorio,Territorio
Coordinate,40°38′N 15°14′E
Altitudine,250 m s.l.m.
Superficie,"28,93 km²"
Abitanti,3 159[1] (30-11-2025)
Densità,"109,19 ab./km²"
Frazioni,"Bagni di Contursi, Bagni Forlenza, Monte di Pruno, Ponte Mefita, Pruno Sottano, Serroni, Tempa del Corvo, Vulpacchio[2]"
Comuni confinanti,"Campagna, Colliano, Oliveto Citra, Palomonte, Postiglione, Sicignano degli Alburni"
Altre informazioni,Altre informazioni
Cod. postale,84024
Prefisso,0828
Fuso orario,UTC+1
Codice ISTAT,065046
Cod. catastale,C974
Targa,SA
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona D, 1 546 GG[4]"
Nome abitanti,contursani
Patrono,san Donato[5]
Giorno festivo,7 agosto[5]
Cartografia,Cartografia
Contursi Terme,Contursi Terme
Contursi Terme – MappaPosizione del comune di Contursi Terme all'interno della provincia di Salerno,Contursi Terme – MappaPosizione del comune di Contursi Terme all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
