Petina comune,Petina comune.1
,
Petina – VedutaPanorama,Petina – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,Domenico D'Amato (lista civica Petina che vogliamo) dall'11-6-2017 (2º mandato dal 12-6-2022)
Territorio,Territorio
Coordinate,40°31′55.52″N 15°22′24.42″E
Altitudine,649 m s.l.m.
Superficie,"35,47 km²"
Abitanti,982[1] (30-11-2025)
Densità,"27,69 ab./km²"
Comuni confinanti,"Auletta, Corleto Monforte, Ottati, Polla, Sant'Angelo a Fasanella, Sicignano degli Alburni"
Altre informazioni,Altre informazioni
Cod. postale,84020
Prefisso,0828
Fuso orario,UTC+1
Codice ISTAT,065094
Cod. catastale,G509
Targa,SA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 2 090 GG[3]"
Nome abitanti,petinesi
Patrono,sant'Onofrio eremita
Giorno festivo,2 agosto
Cartografia,Cartografia
Petina,Petina
Petina – MappaPosizione del comune di Petina all'interno della provincia di Salerno,Petina – MappaPosizione del comune di Petina all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
