Castel San Giorgio comune,Castel San Giorgio comune.1
,
Castel San Giorgio – VedutaMonte Castello - Castel San Giorgio,Castel San Giorgio – VedutaMonte Castello - Castel San Giorgio
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,Paola Lanzara (lista civica Impegno civico) dall'11-6-2017 (2º mandato dal 13-6-2022)
Territorio,Territorio
Coordinate,40°47′N 14°42′E
Altitudine,90 m s.l.m.
Superficie,"13,59 km²"
Abitanti,13 781[1] (30-11-2025)
Densità,"1 014,05 ab./km²"
Frazioni,"Aiello, Campomanfoli, Castelluccio, Cortedomini, Fimiani, Lanzara, Santa Croce, Santa Maria a Favore, Casalnuovo , Torello, Trivio"
Comuni confinanti,"Mercato San Severino, Nocera Inferiore, Roccapiemonte, Sarno, Siano"
Altre informazioni,Altre informazioni
Cod. postale,84083
Prefisso,081
Fuso orario,UTC+1
Codice ISTAT,065034
Cod. catastale,C259
Targa,SA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 253 GG[3]"
Nome abitanti,sangiorgesi
Patrono,"san Rocco, san Biagio"
Giorno festivo,16 agosto
Cartografia,Cartografia
Castel San Giorgio,Castel San Giorgio
Castel San Giorgio – MappaPosizione del comune di Castel San Giorgio all'interno della provincia di Salerno,Castel San Giorgio – MappaPosizione del comune di Castel San Giorgio all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
