Torraca comune,Torraca comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,Francesco Bianco (lista civica Per Torraca) dal 26-5-2014 (2º mandato dal 27-5-2019)
Territorio,Territorio
Coordinate,40°07′N 15°38′E
Altitudine,425 m s.l.m.
Superficie,"16,01 km²"
Abitanti,1 215[1] (30-11-2025)
Densità,"75,89 ab./km²"
Comuni confinanti,"Casaletto Spartano, Sapri, Tortorella, Vibonati"
Altre informazioni,Altre informazioni
Cod. postale,84030
Prefisso,0973
Fuso orario,UTC+1
Codice ISTAT,065148
Cod. catastale,L233
Targa,SA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 576 GG[3]"
Nome abitanti,torrachesi
Patrono,"Pietro apostolo, Maria SS dei Cordici"
Giorno festivo,"29 giugno, 8 settembre"
Cartografia,Cartografia
Torraca,Torraca
Torraca – MappaPosizione del comune di Torraca all'interno della provincia di Salerno,Torraca – MappaPosizione del comune di Torraca all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
