Sanza comune,Sanza comune.1
,
Sanza – Veduta,Sanza – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,Vittorio Esposito (lista civica Cambiamenti per Sanza) dal 12-6-2017 (2º mandato dal 12-6-2022)
Territorio,Territorio
Coordinate,40°15′N 15°33′E
Altitudine,558 m s.l.m.
Superficie,"128,75 km²"
Abitanti,2 316[1] (30-11-2025)
Densità,"17,99 ab./km²"
Frazioni,"San Donato, Varivertola"
Comuni confinanti,"Buonabitacolo, Casalbuono, Casaletto Spartano, Caselle in Pittari, Monte San Giacomo, Montesano sulla Marcellana, Piaggine, Rofrano, Sassano, Valle dell'Angelo"
Altre informazioni,Altre informazioni
Cod. postale,84030
Prefisso,0975
Fuso orario,UTC+1
Codice ISTAT,065133
Cod. catastale,I410
Targa,SA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 854 GG[3]"
Nome abitanti,sanzesi
Patrono,santa Maria della Neve e san Sabino martire
Giorno festivo,5 agosto e 18 settembre
Cartografia,Cartografia
Sanza,Sanza
Sanza – MappaPosizione del comune di Sanza all'interno della provincia di Salerno,Sanza – MappaPosizione del comune di Sanza all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
