Scafati comune,Scafati comune.1
,
Scafati – VedutaPiazza Vittorio Veneto,Scafati – VedutaPiazza Vittorio Veneto
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,Angelo Pasqualino Aliberti (Forza Italia) dal 29-5-2023
Territorio,Territorio
Coordinate,40°44′50″N 14°31′40″E
Altitudine,12 m s.l.m.
Superficie,"19,9 km²"
Abitanti,47 594[1] (30-11-2025)
Densità,"2 391,66 ab./km²"
Frazioni,"Bagni, Contrada Cappelle/Ferrovia, Mariconda, Marra-Zaffaranelli, San Pietro, San Vincenzo, Sant'Antonio Vecchio, Trentuno, Ventotto"
Comuni confinanti,"Angri, Boscoreale (NA), Poggiomarino (NA), Pompei (NA), San Marzano sul Sarno, San Valentino Torio, Sant'Antonio Abate (NA), Santa Maria la Carità (NA)"
Altre informazioni,Altre informazioni
Cod. postale,84018
Prefisso,081
Fuso orario,UTC+1
Codice ISTAT,065137
Cod. catastale,I483
Targa,SA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 150 GG[3]"
Nome abitanti,scafatesi
Patrono,santa Maria delle Vergini
Giorno festivo,quarta domenica di luglio
Cartografia,Cartografia
Scafati,Scafati
Scafati – MappaPosizione del comune di Scafati all'interno della provincia di Salerno,Scafati – MappaPosizione del comune di Scafati all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
