Vietri sul Mare comune,Vietri sul Mare comune.1
,
"Vietri sul Mare – VedutaI ""Due Fratelli"" simbolo di Vietri sul Mare","Vietri sul Mare – VedutaI ""Due Fratelli"" simbolo di Vietri sul Mare"
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,"Giovanni De Simone (lista civica ""Uniti per Vietri"") dal 26-5-2019 (2º mandato dal 10-6-2024)"
Territorio,Territorio
Coordinate,40°40′20″N 14°43′40″E
Altitudine,80 m s.l.m.
Superficie,"9,52 km²"
Abitanti,6 900[1] (30-11-2025)
Densità,"724,79 ab./km²"
Frazioni,"Albori, Benincasa, Dragonea, Molina, Raito, Marina"
Comuni confinanti,"Cava de' Tirreni, Cetara, Maiori, Salerno"
Altre informazioni,Altre informazioni
Cod. postale,84019
Prefisso,089
Fuso orario,UTC+1
Codice ISTAT,065157
Cod. catastale,L860
Targa,SA
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona C, 1 087 GG[3]"
Nome abitanti,vietresi
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Cartografia,Cartografia
Vietri sul Mare,Vietri sul Mare
Vietri sul Mare – MappaPosizione del comune di Vietri sul Mare all'interno della provincia di Salerno,Vietri sul Mare – MappaPosizione del comune di Vietri sul Mare all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
