Ceraso comune,Ceraso comune.1
,
Ceraso – Veduta,Ceraso – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,Aniello Crocamo (lista civica Il sole) dal 4-10-2021
Territorio,Territorio
Coordinate,40°12′N 15°15′E
Altitudine,325 m s.l.m.
Superficie,"46,46 km²"
Abitanti,2 199[1] (30-11-2025)
Densità,"47,33 ab./km²"
Frazioni,"Massascusa Metoio, Petrosa, San Biase, Santa Barbara"
Comuni confinanti,"Ascea, Castelnuovo Cilento, Cuccaro Vetere, Futani, Novi Velia, San Mauro La Bruca, Vallo della Lucania"
Altre informazioni,Altre informazioni
Cod. postale,84052
Prefisso,0974
Fuso orario,UTC+1
Codice ISTAT,065040
Cod. catastale,C485
Targa,SA
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona C, 1 356 GG[3]"
Nome abitanti,cerasuoli
Patrono,san Nicola di Bari
Giorno festivo,6 dicembre
Cartografia,Cartografia
Ceraso,Ceraso
Ceraso – MappaPosizione del comune di Ceraso all'interno della provincia di Salerno,Ceraso – MappaPosizione del comune di Ceraso all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
