Buonabitacolo comune,Buonabitacolo comune.1
,
Buonabitacolo – Veduta,Buonabitacolo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,"Giancarlo Guercio (lista civica ""Rinnovamento per Buonabitacolo - La Ginestra"") dal 12-6-2017 (2º mandato dal 12-6-2022)"
Territorio,Territorio
Coordinate,40°16′N 15°37′E
Altitudine,501 m s.l.m.
Superficie,"15,54 km²"
Abitanti,2 458[1] (30-11-2025)
Densità,"158,17 ab./km²"
Comuni confinanti,"Montesano sulla Marcellana, Padula, Sanza, Sassano"
Altre informazioni,Altre informazioni
Cod. postale,84032
Prefisso,0975
Fuso orario,UTC+1
Codice ISTAT,065018
Cod. catastale,B266
Targa,SA
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 1 772 GG[3]"
Nome abitanti,buonabitacolesi
Patrono,"Beata Vergine Maria del Monte Carmelo, sant'Elia"
Cartografia,Cartografia
Buonabitacolo,Buonabitacolo
Buonabitacolo – MappaPosizione del comune di Buonabitacolo all'interno della provincia di Salerno,Buonabitacolo – MappaPosizione del comune di Buonabitacolo all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
