Padula comune,Padula comune.1
,
Padula – Veduta,Padula – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,"Michela Cimino (lista civica ""Per Padula Vota Chi Ti Ascolta"") dal 4-10-2021"
Territorio,Territorio
Coordinate,40°20′20.44″N 15°39′22.82″E
Altitudine,699 m s.l.m.
Superficie,"67,12 km²"
Abitanti,4 783[1] (30-11-2025)
Densità,"71,26 ab./km²"
Frazioni,"Ascolese, Caiazzano, Cardogna, Contrada Principe, Volta Cammino, Sterpone"
Comuni confinanti,"Buonabitacolo, Marsico Nuovo (PZ), Montesano sulla Marcellana, Paterno (PZ), Sala Consilina, Sassano"
Altre informazioni,Altre informazioni
Cod. postale,"84034, 84030"
Prefisso,0975
Fuso orario,UTC+1
Codice ISTAT,065087
Cod. catastale,G226
Targa,SA
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 1 899 GG[3]"
Nome abitanti,padulesi
Patrono,san Michele Arcangelo
Giorno festivo,29 settembre
Cartografia,Cartografia
Padula,Padula
Padula – MappaPosizione del comune di Padula all'interno della provincia di Salerno,Padula – MappaPosizione del comune di Padula all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
