San Rufo comune,San Rufo comune.1
,
San Rufo – Veduta,San Rufo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,Michele Marmo (Partito Democratico) dal 26-5-2014
Territorio,Territorio
Coordinate,40°26′N 15°28′E
Altitudine,640 m s.l.m.
Superficie,"31,96 km²"
Abitanti,1 587[1] (30-11-2025)
Densità,"49,66 ab./km²"
Frazioni,Fontana Vaglio
Comuni confinanti,"Corleto Monforte, San Pietro al Tanagro, Sant'Arsenio, Teggiano"
Altre informazioni,Altre informazioni
Cod. postale,84030
Prefisso,0975
Fuso orario,UTC+1
Codice ISTAT,065126
Cod. catastale,I143
Targa,SA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 2 079 GG[3]"
Nome abitanti,sanrufesi
Patrono,san Rufo
Giorno festivo,27 agosto
Cartografia,Cartografia
San Rufo,San Rufo
San Rufo – MappaPosizione del comune di San Rufo all'interno della provincia di Salerno,San Rufo – MappaPosizione del comune di San Rufo all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
