Sicignano degli Alburni comune,Sicignano degli Alburni comune.1
,
Sicignano degli Alburni – VedutaCastello e borgo medievale,Sicignano degli Alburni – VedutaCastello e borgo medievale
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,"Giacomo Orco (lista civica ""Obiettivi in Comune"") dal 22-9-2020"
Territorio,Territorio
Coordinate,40°33′34.8″N 15°18′25.2″E
Altitudine,609 m s.l.m.
Superficie,"81,11 km²"
Abitanti,3 054[1] (30-11-2025)
Densità,"37,65 ab./km²"
Frazioni,"Castelluccio Cosentino, Galdo degli Alburni, Scorzo, Terranova, Zuppino"
Comuni confinanti,"Auletta, Buccino, Castelcivita, Contursi Terme, Ottati, Palomonte, Petina, Postiglione"
Altre informazioni,Altre informazioni
Cod. postale,84029
Prefisso,0828
Fuso orario,UTC+1
Codice ISTAT,065143
Cod. catastale,M253
Targa,SA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 2 058 GG[3]"
Nome abitanti,sicignanesi
Patrono,san Matteo
Giorno festivo,21 settembre
Cartografia,Cartografia
Sicignano degli Alburni,Sicignano degli Alburni
Sicignano degli Alburni – MappaPosizione del comune di Sicignano degli Alburni all'interno della provincia di Salerno,Sicignano degli Alburni – MappaPosizione del comune di Sicignano degli Alburni all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
