Acerno comune,Acerno comune.1
,
Acerno – VedutaLa concattedrale di San Donato,Acerno – VedutaLa concattedrale di San Donato
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,"Massimiliano Cuozzo (lista civica ""Per Acerno"") dall'11-6-2017 (2º mandato dal 12-6-2022)"
Territorio,Territorio
Coordinate,40°45′N 15°03′E
Altitudine,727 m s.l.m.
Superficie,"72,5 km²"
Abitanti,2 419[1] (30-11-2025)
Densità,"33,37 ab./km²"
Comuni confinanti,"Bagnoli Irpino (AV), Calabritto (AV), Campagna, Giffoni Valle Piana, Montecorvino Rovella, Montella (AV), Olevano sul Tusciano, Senerchia (AV)"
Altre informazioni,Altre informazioni
Cod. postale,84042
Prefisso,089
Fuso orario,UTC+1
Codice ISTAT,065001
Cod. catastale,A023
Targa,SA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 459 GG[3]"
Nome abitanti,acernesi
Patrono,san Donato di Arezzo
Giorno festivo,7 agosto
Cartografia,Cartografia
Acerno,Acerno
Acerno – MappaPosizione del comune di Acerno all'interno della provincia di Salerno,Acerno – MappaPosizione del comune di Acerno all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
