Aquara comune,Aquara comune.1
,
Aquara – Veduta,Aquara – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,Antonio Marino (lista civica Aquara al centro) dal 10-6-2018 (2º mandato dal 14-5-2023)
Territorio,Territorio
Coordinate,40°26′38.08″N 15°15′13.86″E
Altitudine,500 m s.l.m.
Superficie,"32,73 km²"
Abitanti,1 238[1] (30-11-2025)
Densità,"37,82 ab./km²"
Frazioni,Mainardi
Comuni confinanti,"Bellosguardo, Castel San Lorenzo, Castelcivita, Felitto, Ottati, Roccadaspide"
Altre informazioni,Altre informazioni
Cod. postale,84020
Prefisso,0828
Fuso orario,UTC+1
Codice ISTAT,065008
Cod. catastale,A343
Targa,SA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 762 GG[3]"
Nome abitanti,aquaresi
Patrono,san Lucido di Aquara
Giorno festivo,28 luglio
Cartografia,Cartografia
Aquara,Aquara
Aquara – MappaPosizione del comune di Aquara all'interno della provincia di Salerno,Aquara – MappaPosizione del comune di Aquara all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
