Angri comune,Angri comune.1
,
Angri – VedutaVeduta di Angri dal Chianiello (monti Lattari),Angri – VedutaVeduta di Angri dal Chianiello (monti Lattari)
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,Cosimo Ferraioli (Democrazia Sovrana Popolare) dal 15-6-2015 (2º mandato dal 21-9-2020)
Territorio,Territorio
Coordinate,40°44′35″N 14°34′10″E
Altitudine,32 m s.l.m.
Superficie,"13,77 km²"
Abitanti,34 348[1] (30-11-2025)
Densità,"2 494,41 ab./km²"
Comuni confinanti,"Corbara, Lettere (NA), Sant'Antonio Abate (NA), Sant'Egidio del Monte Albino, San Marzano sul Sarno, Scafati"
Altre informazioni,Altre informazioni
Cod. postale,84012
Prefisso,081
Fuso orario,UTC+1
Codice ISTAT,065007
Cod. catastale,A294
Targa,SA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 175 GG[3]"
Nome abitanti,angresi
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Motto,Universitas Terræ Angriæ
Cartografia,Cartografia
Angri,Angri
Angri – MappaPosizione del comune di Angri all'interno della provincia di Salerno,Angri – MappaPosizione del comune di Angri all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
