Calvanico comune,Calvanico comune.1
,
Calvanico – VedutaCalvanico vista dal Pizzo San Michele,Calvanico – VedutaCalvanico vista dal Pizzo San Michele
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,Antonio Conforti (lista civica Calvanico 2000) dal 15-5-2023
Data di istituzione,1829
Territorio,Territorio
Coordinate,40°47′N 14°50′E
Altitudine,500 m s.l.m.
Superficie,"14,91 km²"
Abitanti,1 414[1] (30-11-2025)
Densità,"94,84 ab./km²"
Comuni confinanti,"Fisciano, Giffoni Sei Casali, Castiglione del Genovesi, Giffoni Valle Piana, Montoro (AV), Serino (AV), Solofra (AV)"
Altre informazioni,Altre informazioni
Cod. postale,84080
Prefisso,089
Fuso orario,UTC+1
Codice ISTAT,065020
Cod. catastale,B437
Targa,SA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 669 GG[3]"
Nome abitanti,calvanicesi
Patrono,san Michele arcangelo
Giorno festivo,29 settembre
Cartografia,Cartografia
Calvanico,Calvanico
Calvanico – MappaPosizione del comune di Calvanico all'interno della provincia di Salerno,Calvanico – MappaPosizione del comune di Calvanico all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
