Laurito comune,Laurito comune.1
,
Laurito – Veduta,Laurito – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,Vincenzo Speranza (lista civica Insieme per Laurito) dal 7-5-2012 (3º mandato dal 13-6-2022)
Territorio,Territorio
Coordinate,40°10′N 15°24′E
Altitudine,475 m s.l.m.
Superficie,"20,22 km²"
Abitanti,649[1] (30-11-2025)
Densità,"32,1 ab./km²"
Comuni confinanti,"Alfano, Celle di Bulgheria, Montano Antilia, Roccagloriosa, Rofrano"
Altre informazioni,Altre informazioni
Cod. postale,84050
Prefisso,0974
Fuso orario,UTC+1
Codice ISTAT,065062
Cod. catastale,E486
Targa,SA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 638 GG[3]"
Nome abitanti,lauritani
Patrono,san Filippo d'Agira - Madonna del Carmine
Giorno festivo,12 maggio - Domenica successiva al 16 luglio.
Cartografia,Cartografia
Laurito,Laurito
Laurito – MappaPosizione del comune di Laurito all'interno della provincia di Salerno,Laurito – MappaPosizione del comune di Laurito all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
