Bellosguardo comune,Bellosguardo comune.1
,
Bellosguardo – Veduta,Bellosguardo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,Giuseppe Parente (lista civica Uniti per il Futuro) dall'8-6-2009 (4º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,40°25′19.99″N 15°18′43.88″E
Altitudine,559 m s.l.m.
Superficie,"16,75 km²"
Abitanti,648[1] (30-11-2025)
Densità,"38,69 ab./km²"
Comuni confinanti,"Aquara, Corleto Monforte, Felitto, Laurino, Ottati, Roscigno, Sant'Angelo a Fasanella"
Altre informazioni,Altre informazioni
Cod. postale,84020
Prefisso,0828
Fuso orario,UTC+1
Codice ISTAT,065015
Cod. catastale,A756
Targa,SA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 913 GG[3]"
Nome abitanti,bellosguardesi
Patrono,san Michele
Giorno festivo,29 settembre
Cartografia,Cartografia
Bellosguardo,Bellosguardo
Bellosguardo – MappaPosizione del comune di Bellosguardo all'interno della provincia di Salerno,Bellosguardo – MappaPosizione del comune di Bellosguardo all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
