Palomonte comune,Palomonte comune.1
,
Palomonte – Veduta,Palomonte – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,Felice Cupo (lista civica L'aquilone) dal 13-6-2022
Territorio,Territorio
Coordinate,40°40′N 15°18′E
Altitudine,550 m s.l.m.
Superficie,"28,3 km²"
Abitanti,3 771[1] (30-11-2025)
Densità,"133,25 ab./km²"
Frazioni,"Bivio, Perrazze, Valle, Pezzelle, Sperlonga, Vonghia, Scorzo, Falascone"
Comuni confinanti,"Buccino, Colliano, Contursi Terme, Sicignano degli Alburni"
Altre informazioni,Altre informazioni
Cod. postale,84020
Prefisso,0828
Fuso orario,UTC+1
Codice ISTAT,065089
Cod. catastale,G292
Targa,SA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 983 GG[3]"
Nome abitanti,palomontesi
Patrono,san Biagio
Giorno festivo,3 febbraio
Cartografia,Cartografia
Palomonte,Palomonte
Palomonte – MappaPosizione del comune di Palomonte all'interno della provincia di Salerno,Palomonte – MappaPosizione del comune di Palomonte all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
