Colliano comune,Colliano comune.1
,
Colliano – Veduta,Colliano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,Gerardo Strollo (lista civica La spiga di grano - Le@li per Colliano) dal 13-6-2022
Territorio,Territorio
Coordinate,40°44′N 15°17′E
Altitudine,630 m s.l.m.
Superficie,"55,16 km²"
Abitanti,3 394[1] (30-11-2025)
Densità,"61,53 ab./km²"
Frazioni,"Bagni, Bisigliano, Collianello, Macchia Grande, Macchia Piccola, San Vittore, Sasso, Valle di Raio, San Leonardo, Pazzano"
Comuni confinanti,"Buccino, Contursi Terme, Laviano, Muro Lucano (PZ), Oliveto Citra, Palomonte, San Gregorio Magno, Valva"
Altre informazioni,Altre informazioni
Cod. postale,84020
Prefisso,0828
Fuso orario,UTC+1
Codice ISTAT,065043
Cod. catastale,C879
Targa,SA
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 102 GG[3]"
Nome abitanti,collianesi
Patrono,Leone IX
Giorno festivo,19 aprile e penultima domenica di luglio
Cartografia,Cartografia
Colliano,Colliano
Colliano – MappaPosizione del comune di Colliano all'interno della provincia di Salerno,Colliano – MappaPosizione del comune di Colliano all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
