Buccino comune,Buccino comune.1
,
Buccino – Veduta,Buccino – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,"Pasquale Freda (lista civica ""Insieme per Buccino"") dal 13-6-2022"
Territorio,Territorio
Coordinate,40°38′N 15°23′E
Altitudine,663 m s.l.m.
Superficie,"65,92 km²"
Abitanti,4 458[1] (30-11-2025)
Densità,"67,63 ab./km²"
Frazioni,"Pianelle, San Giovanni, Teglia, Temponi, Tufariello[2]"
Comuni confinanti,"Auletta, Colliano, Palomonte, Romagnano al Monte, Salvitelle, San Gregorio Magno, Sicignano degli Alburni"
Altre informazioni,Altre informazioni
Cod. postale,84021
Prefisso,0828
Fuso orario,UTC+1
Codice ISTAT,065017
Cod. catastale,B242
Targa,SA
Cl. sismica,zona 1 (sismicità alta)[3]
Cl. climatica,"zona D, 2 100 GG[4]"
Nome abitanti,"buccinesi, volceiani"
Patrono,Maria SS Immacolata
Giorno festivo,prima domenica di luglio
Cartografia,Cartografia
Buccino,Buccino
Buccino – MappaPosizione del comune di Buccino all'interno della provincia di Salerno,Buccino – MappaPosizione del comune di Buccino all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
