Salento comune,Salento comune.1
,
Salento – Veduta,Salento – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,Michele Santoro (lista civica) dal 10 06 2024
Territorio,Territorio
Coordinate,40°14′58.56″N 15°11′27.24″E
Altitudine,420 m s.l.m.
Superficie,"23,79 km²"
Abitanti,1 739[1] (30-11-2025)
Densità,"73,1 ab./km²"
Frazioni,"Fasana, Maroccia, Palazza"
Comuni confinanti,"Casal Velino, Castelnuovo Cilento, Gioi, Lustra, Omignano, Orria, Perito, Vallo della Lucania"
Altre informazioni,Altre informazioni
Cod. postale,84070
Prefisso,0974
Fuso orario,UTC+1
Codice ISTAT,065115
Cod. catastale,H686
Targa,SA
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 529 GG[3]"
Nome abitanti,salentini
Patrono,santa Barbara
Giorno festivo,4 dicembre (votivo 29 luglio)
Cartografia,Cartografia
Salento,Salento
Salento – MappaPosizione del comune di Salento all'interno della provincia di Salerno,Salento – MappaPosizione del comune di Salento all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
