Giffoni Sei Casali comune,Giffoni Sei Casali comune.1
,
"Giffoni Sei Casali – VedutaCapitignano, il casale capoluogo","Giffoni Sei Casali – VedutaCapitignano, il casale capoluogo"
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,Francesco Munno (lista civica Insieme per i Casali) dall'11-6-2017 (2º mandato dal 14-06-2022)
Territorio,Territorio
Coordinate,40°43′N 14°54′E
Altitudine,225 m s.l.m.
Superficie,"35,08 km²"
Abitanti,4 950[1] (30-11-2025)
Densità,"141,11 ab./km²"
Frazioni,"Capitignano, Malche, Prepezzano, Sieti"
Comuni confinanti,"Calvanico, Castiglione del Genovesi, Fisciano, Giffoni Valle Piana, San Cipriano Picentino"
Altre informazioni,Altre informazioni
Cod. postale,84090
Prefisso,089
Fuso orario,UTC+1
Codice ISTAT,065055
Cod. catastale,E026
Targa,SA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 396 GG[3]"
Nome abitanti,giffonesi
Cartografia,Cartografia
Giffoni Sei Casali,Giffoni Sei Casali
Giffoni Sei Casali – MappaPosizione del comune di Giffoni Sei Casali all'interno della provincia di Salerno,Giffoni Sei Casali – MappaPosizione del comune di Giffoni Sei Casali all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
