Sant'Arsenio comune,Sant'Arsenio comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,"Donato Pica (lista civica ""Impegno Comune"") dal 26-6-2017 (2º mandato dal 24-6-2022)"
Territorio,Territorio
Coordinate,40°28′N 15°29′E
Altitudine,463 m s.l.m.
Superficie,"20,14 km²"
Abitanti,2 631[1] (30-11-2025)
Densità,"130,64 ab./km²"
Comuni confinanti,"Atena Lucana, Corleto Monforte, Polla, San Pietro al Tanagro, San Rufo, Teggiano"
Altre informazioni,Altre informazioni
Cod. postale,84037
Prefisso,0975
Fuso orario,UTC+1
Codice ISTAT,065129
Cod. catastale,I307
Targa,SA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 604 GG[3]"
Nome abitanti,santarsenesi
Patrono,sant'Arsenio il Grande; sant'Anna
Giorno festivo,"19 luglio, 26 luglio"
Cartografia,Cartografia
Sant'Arsenio,Sant'Arsenio
Sant'Arsenio – MappaPosizione del comune di Sant'Arsenio all'interno della provincia di Salerno,Sant'Arsenio – MappaPosizione del comune di Sant'Arsenio all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
