Montecorvino Rovella comune,Montecorvino Rovella comune.1
,
Montecorvino Rovella – Veduta,Montecorvino Rovella – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,"Martino D'Onofrio (lista civica ""Insieme per cambiare"") dal 10-6-2018 (2º mandato dal 12-5-2023)"
Territorio,Territorio
Coordinate,40°42′N 14°59′E
Altitudine,295 m s.l.m.
Superficie,"42,16 km²"
Abitanti,12 295[1] (30-11-2025)
Densità,"291,63 ab./km²"
Frazioni,vedi sezione
Comuni confinanti,"Acerno, Battipaglia, Bellizzi, Giffoni Valle Piana, Montecorvino Pugliano, Olevano sul Tusciano"
Altre informazioni,Altre informazioni
Cod. postale,"84096, 84090"
Prefisso,089
Fuso orario,UTC+1
Codice ISTAT,065073
Cod. catastale,F481
Targa,SA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 536 GG[3]"
Nome abitanti,montecorvinesi
Patrono,santi Pietro e Paolo
Giorno festivo,29 giugno
Cartografia,Cartografia
Montecorvino Rovella,Montecorvino Rovella
Montecorvino Rovella – MappaPosizione del comune di Montecorvino Rovella all'interno della provincia di Salerno,Montecorvino Rovella – MappaPosizione del comune di Montecorvino Rovella all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
