Alfano comune,Alfano comune.1
,
Alfano – Veduta,Alfano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,Elena Anna Gerardo (lista civica Sempre più avanti sempre più in alto) dall'11-6-2017 (2º mandato dal 12-6-2022)
Territorio,Territorio
Coordinate,40°10′38.85″N 15°25′28.55″E
Altitudine,250 m s.l.m.
Superficie,"4,82 km²"
Abitanti,894[1] (30-11-2025)
Densità,"185,48 ab./km²"
Comuni confinanti,"Laurito, Roccagloriosa, Rofrano"
Altre informazioni,Altre informazioni
Cod. postale,84040
Prefisso,0974
Fuso orario,UTC+1
Codice ISTAT,065004
Cod. catastale,A186
Targa,SA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 369 GG[3]"
Nome abitanti,alfanesi
Patrono,"san Nicola, sant'Antonio"
Giorno festivo,"6 dicembre, 13 giugno"
Cartografia,Cartografia
Alfano,Alfano
Alfano – MappaPosizione del comune di Alfano all'interno della provincia di Salerno,Alfano – MappaPosizione del comune di Alfano all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
