Novi Velia comune,Novi Velia comune.1
,
Novi Velia – VedutaPanorama del centro cittadino,Novi Velia – VedutaPanorama del centro cittadino
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,Adriano De Vita (lista civica La colomba) dal 10-6-2018
Territorio,Territorio
Coordinate,40°13′N 15°17′E
Altitudine,648 m s.l.m.
Superficie,"34,71 km²"
Abitanti,2 339[1] (30-11-2025)
Densità,"67,39 ab./km²"
Comuni confinanti,"Campora, Cannalonga, Ceraso, Cuccaro Vetere, Futani, Laurino, Laurito, Montano Antilia, Rofrano, Vallo della Lucania"
Altre informazioni,Altre informazioni
Cod. postale,84060
Prefisso,0974
Fuso orario,UTC+1
Codice ISTAT,065080
Cod. catastale,F967
Targa,SA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 949 GG[3]"
Nome abitanti,novesi
Patrono,san Nicola
Giorno festivo,6 dicembre - 17 agosto
Cartografia,Cartografia
Novi Velia,Novi Velia
Novi Velia – MappaPosizione del comune di Novi Velia all'interno della provincia di Salerno,Novi Velia – MappaPosizione del comune di Novi Velia all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
