Moio della Civitella comune,Moio della Civitella comune.1
,
Moio della Civitella – Veduta,Moio della Civitella – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,Enrico Gnarra (lista civica) dal 6-6-2016
Territorio,Territorio
Coordinate,40°14′49.56″N 15°16′07.9″E
Altitudine,515 m s.l.m.
Superficie,"17,19 km²"
Abitanti,1 811[1] (30-11-2025)
Densità,"105,35 ab./km²"
Frazioni,Pellare
Comuni confinanti,"Campora, Cannalonga, Gioi, Vallo della Lucania"
Altre informazioni,Altre informazioni
Cod. postale,84060
Prefisso,0974
Fuso orario,UTC+1
Codice ISTAT,065069
Cod. catastale,F278
Targa,SA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 794 GG[3]"
Nome abitanti,moiesi (capoluogo); pellaresi (frazione Pellare)
Patrono,santa Veneranda - san Bartolomeo
Giorno festivo,26 luglio - 25 agosto
Cartografia,Cartografia
Moio della Civitella,Moio della Civitella
Moio della Civitella – MappaPosizione del comune di Moio della Civitella all'interno della provincia di Salerno,Moio della Civitella – MappaPosizione del comune di Moio della Civitella all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
