Perito comune,Perito comune.1
,
Perito – VedutaUna veduta del paese,Perito – VedutaUna veduta del paese
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,Pietro Apolito (lista civica) dal 15-5-2023
Territorio,Territorio
Coordinate,40°17′51.76″N 15°08′51.58″E
Altitudine,465 m s.l.m.
Superficie,24 km²
Abitanti,766[1] (30-11-2025)
Densità,"31,92 ab./km²"
Frazioni,Ostigliano
Comuni confinanti,"Cicerale, Lustra, Monteforte Cilento, Orria, Prignano Cilento, Rutino, Salento"
Altre informazioni,Altre informazioni
Cod. postale,84060
Prefisso,0974
Fuso orario,UTC+1
Codice ISTAT,065092
Cod. catastale,G455
Targa,SA
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 626 GG[3]"
Nome abitanti,peritesi
Patrono,san Nicola
Cartografia,Cartografia
Perito,Perito
Perito – MappaPosizione del comune di Perito all'interno della provincia di Salerno,Perito – MappaPosizione del comune di Perito all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
