Montesano sulla Marcellana comune,Montesano sulla Marcellana comune.1
,
Montesano sulla Marcellana – Veduta,Montesano sulla Marcellana – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,Giuseppe Rinaldi (FdI) dal 5-6-2016 (2º mandato dal 4-10-2021)
Territorio,Territorio
Coordinate,40°17′N 15°42′E
Altitudine,850 m s.l.m.
Superficie,"110,22 km²"
Abitanti,6 273[1] (30-11-2025)
Densità,"56,91 ab./km²"
Frazioni,"Arenabianca, Cessuta, Magorno, Montesano Scalo, Prato Comune, Tardiano"
Comuni confinanti,"Buonabitacolo, Casalbuono, Lagonegro (PZ), Moliterno (PZ), Padula, Sanza, Tramutola (PZ)"
Altre informazioni,Altre informazioni
Cod. postale,84033
Prefisso,0975
Fuso orario,UTC+1
Codice ISTAT,065076
Cod. catastale,F625
Targa,SA
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 259 GG[3]"
Nome abitanti,montesanesi
Patrono,san Nicola
Giorno festivo,6 dicembre
Cartografia,Cartografia
Montesano sulla Marcellana,Montesano sulla Marcellana
Montesano sulla Marcellana – MappaPosizione del comune di Montesano sulla Marcellana all'interno della provincia di Salerno,Montesano sulla Marcellana – MappaPosizione del comune di Montesano sulla Marcellana all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
