Eboli comune,Eboli comune.1
,
Eboli – VedutaPanorama di Eboli dalla collina di Montedoro,Eboli – VedutaPanorama di Eboli dalla collina di Montedoro
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,Mario Conte (indipendente di sinistra) dal 18-10-2021
Territorio,Territorio
Coordinate,40°37′01″N 15°03′23″E
Altitudine,145 m s.l.m.
Superficie,"137,58 km²"
Abitanti,37 646[1] (30-11-2025)
Densità,"273,63 ab./km²"
Frazioni,"Cioffi, Corno d'Oro, Santa Cecilia"
Comuni confinanti,"Albanella, Battipaglia, Campagna, Capaccio Paestum, Olevano sul Tusciano, Serre"
Altre informazioni,Altre informazioni
Cod. postale,84025
Prefisso,0828
Fuso orario,UTC+1
Codice ISTAT,065050
Cod. catastale,D390
Targa,SA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 226 GG[3]"
Nome abitanti,"ebolitani, eburini[4]"
Patrono,san Vito e san Berniero
Giorno festivo,15 giugno
Motto,"Arme stupende, e da pregiar non poco, la terra, l’acqua infine, l’aria, e ‘l foco.[5]"
Cartografia,Cartografia
Eboli,Eboli
Eboli – MappaPosizione del comune di Eboli all'interno della provincia di Salerno,Eboli – MappaPosizione del comune di Eboli all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
