Morigerati comune,Morigerati comune.1
,
Morigerati – VedutaIl castello baronale di Morigerati,Morigerati – VedutaIl castello baronale di Morigerati
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,Guido Florenzano dall'8-6-2024
Territorio,Territorio
Coordinate,40°08′22.5″N 15°33′18.3″E
Altitudine,268 m s.l.m.
Superficie,"21,19 km²"
Abitanti,580[1] (30-11-2025)
Densità,"27,37 ab./km²"
Frazioni,Sicilì
Comuni confinanti,"Casaletto Spartano, Caselle in Pittari, Santa Marina, Torre Orsaia, Tortorella"
Altre informazioni,Altre informazioni
Cod. postale,84030
Prefisso,0974
Fuso orario,UTC+1
Codice ISTAT,065077
Cod. catastale,F731
Targa,SA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 319 GG[3]"
Nome abitanti,morigeratesi
Patrono,Demetrio di Tessalonica
Giorno festivo,26 agosto
Cartografia,Cartografia
Morigerati,Morigerati
Morigerati – MappaPosizione del comune di Morigerati all'interno della provincia di Salerno,Morigerati – MappaPosizione del comune di Morigerati all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
