Olevano sul Tusciano comune,Olevano sul Tusciano comune.1
,
"Olevano sul Tusciano – VedutaVeduta della frazione Ariano, sede comunale","Olevano sul Tusciano – VedutaVeduta della frazione Ariano, sede comunale"
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,"Michele Ciliberti (lista civica ""Olevano Viva"") dal 15-5-2023"
Territorio,Territorio
Coordinate,40°39′25.88″N 15°01′22.98″E
Altitudine,197 m s.l.m.
Superficie,"26,72 km²"
Abitanti,6 585[1] (30-11-2025)
Densità,"246,44 ab./km²"
Frazioni,"Ariano (sede comunale), Monticelli, Salitto"
Comuni confinanti,"Acerno, Battipaglia, Campagna, Eboli, Montecorvino Rovella"
Altre informazioni,Altre informazioni
Cod. postale,84062
Prefisso,0828
Fuso orario,UTC+1
Codice ISTAT,065082
Cod. catastale,G023
Targa,SA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 542 GG[3]"
Nome abitanti,olevanesi
Patrono,san Michele Arcangelo
Giorno festivo,8 maggio
Cartografia,Cartografia
Olevano sul Tusciano,Olevano sul Tusciano
Olevano sul Tusciano – MappaPosizione del comune di Olevano sul Tusciano all'interno della provincia di Salerno,Olevano sul Tusciano – MappaPosizione del comune di Olevano sul Tusciano all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
