Cetara comune,Cetara comune.1
,
Cetara – Veduta,Cetara – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,"Fortunato Della Monica (lista civica ""Cetara D'Amare"") dal 5-6-2016 (2º mandato dal 4-10-2021)"
Territorio,Territorio
Coordinate,40°39′N 14°42′E
Altitudine,10 m s.l.m.
Superficie,"4,97 km²"
Abitanti,1 889[1] (30-11-2025)
Densità,"380,08 ab./km²"
Frazioni,Fuenti
Comuni confinanti,"Maiori, Vietri sul Mare"
Altre informazioni,Altre informazioni
Cod. postale,84010
Prefisso,089
Fuso orario,UTC+1
Codice ISTAT,065041
Cod. catastale,C584
Targa,SA
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona C, 999 GG[3]"
Nome abitanti,cetaresi
Patrono,san Pietro apostolo
Giorno festivo,29 giugno
Cartografia,Cartografia
Cetara,Cetara
Cetara – MappaPosizione del comune di Cetara all'interno della provincia di Salerno,Cetara – MappaPosizione del comune di Cetara all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
