Monte San Giacomo comune,Monte San Giacomo comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,Angela D'Alto (lista civica Futura) dal 4-10-2021
Territorio,Territorio
Coordinate,40°21′N 15°32′E
Altitudine,668 m s.l.m.
Superficie,"51,69 km²"
Abitanti,1 357[1] (30-11-2025)
Densità,"26,25 ab./km²"
Comuni confinanti,"Piaggine, Sanza, Sassano, Teggiano"
Altre informazioni,Altre informazioni
Cod. postale,84030
Prefisso,0975
Fuso orario,UTC+1
Codice ISTAT,065075
Cod. catastale,F618
Targa,SA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 2 098 GG[3]"
Nome abitanti,sangiacomesi
Patrono,san Giacomo il Maggiore e sant'Anna
Giorno festivo,25 luglio e 26 luglio
Cartografia,Cartografia
Monte San Giacomo,Monte San Giacomo
Monte San Giacomo – MappaPosizione del comune di Monte San Giacomo all'interno della provincia di Salerno,Monte San Giacomo – MappaPosizione del comune di Monte San Giacomo all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
