Torre Orsaia comune,Torre Orsaia comune.1
,
Torre Orsaia – Veduta,Torre Orsaia – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,Pietro Vicino (lista civica) dal 26-5-2014 (3º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,40°08′N 15°28′E
Altitudine,295 m s.l.m.
Superficie,"21,03 km²"
Abitanti,1 931[1] (30-11-2025)
Densità,"91,82 ab./km²"
Frazioni,"Borgo Cerreto, Castel Ruggero"
Comuni confinanti,"Caselle in Pittari, Morigerati, Roccagloriosa, Rofrano, San Giovanni a Piro, Santa Marina"
Altre informazioni,Altre informazioni
Cod. postale,84077
Prefisso,0974
Fuso orario,UTC+1
Codice ISTAT,065149
Cod. catastale,L274
Targa,SA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 300 GG[3]"
Nome abitanti,torresi - ursentini
Patrono,san Lorenzo
Giorno festivo,10 agosto
Cartografia,Cartografia
Torre Orsaia,Torre Orsaia
Torre Orsaia – MappaPosizione del comune di Torre Orsaia all'interno della provincia di Salerno,Torre Orsaia – MappaPosizione del comune di Torre Orsaia all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
