Stella Cilento comune,Stella Cilento comune.1
,
Stella Cilento – Veduta,Stella Cilento – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,Massanova Francesco (lista civica Una nuova Stella) dall'11-6-2017
Territorio,Territorio
Coordinate,40°14′N 15°06′E
Altitudine,386 m s.l.m.
Superficie,"14,52 km²"
Abitanti,615[1] (30-11-2025)
Densità,"42,36 ab./km²"
Frazioni,"Amalafede, Droro, Guarrazzano, San Giovanni Cilento"
Comuni confinanti,"Casal Velino, Omignano, Pollica, San Mauro Cilento, Sessa Cilento"
Altre informazioni,Altre informazioni
Cod. postale,84070
Prefisso,0974
Fuso orario,UTC+1
Codice ISTAT,065144
Cod. catastale,G887
Targa,SA
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 527 GG[3]"
Nome abitanti,stellani
Patrono,san Nicola di Bari
Giorno festivo,6 dicembre
Cartografia,Cartografia
Stella Cilento,Stella Cilento
Stella Cilento – MappaPosizione del comune di Stella Cilento all'interno della provincia di Salerno,Stella Cilento – MappaPosizione del comune di Stella Cilento all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
