Minori comune,Minori comune.1
,
Minori – Veduta,Minori – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,"Andrea Reale (lista civica ""Via Nova"") dal 7-6-2009 (4º mandato dal 10-6-2024)"
Territorio,Territorio
Coordinate,40°39′09.68″N 14°37′29.82″E
Altitudine,5 m s.l.m.
Superficie,"2,66 km²"
Abitanti,2 532[1] (30-11-2025)
Densità,"951,88 ab./km²"
Frazioni,"Monte, Torre, Villamena"
Comuni confinanti,"Maiori, Ravello"
Altre informazioni,Altre informazioni
Cod. postale,84010
Prefisso,089
Fuso orario,UTC+1
Codice ISTAT,065068
Cod. catastale,F223
Targa,SA
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona C, 1 043 GG[3]"
Nome abitanti,minoresi
Patrono,santa Trofimena
Giorno festivo,5 novembre
Cartografia,Cartografia
Minori,Minori
Minori – MappaPosizione del comune di Minori all'interno della provincia di Salerno,Minori – MappaPosizione del comune di Minori all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
