Siano comune,Siano comune.1
,
Siano – VedutaVista panoramica dalla sella della Madonna del Carmine,Siano – VedutaVista panoramica dalla sella della Madonna del Carmine
Localizzazione,Localizzazione
Stato,Italia
Regione,Campania
Provincia,Salerno
Amministrazione,Amministrazione
Sindaco,Giorgio Marchese (lista civica Siano al centro) dal 5-6-2016 (2º mandato dal 4-10-2021)
Territorio,Territorio
Coordinate,40°48′09″N 14°41′40″E
Altitudine,126 m s.l.m.
Superficie,"8,57 km²"
Abitanti,9 238[1] (30-11-2025)
Densità,"1 077,95 ab./km²"
Comuni confinanti,"Bracigliano, Castel San Giorgio, Mercato San Severino, Sarno, Quindici (AV)"
Altre informazioni,Altre informazioni
Cod. postale,84088
Prefisso,081
Fuso orario,UTC+1
Codice ISTAT,065142
Cod. catastale,I720
Targa,SA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 298 GG[3]"
Nome abitanti,sianesi
Patrono,"san Rocco, san Sebastiano"
Giorno festivo,"16 agosto, 20 gennaio"
Cartografia,Cartografia
Siano,Siano
Siano – MappaPosizione del comune di Siano all'interno della provincia di Salerno,Siano – MappaPosizione del comune di Siano all'interno della provincia di Salerno
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
